id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34472064,Elegant Condo with Private Keyed Elevator,44353105,M. Allen,,Kenwood,41.81509,-87.60609,Entire home/apt,275,2,2,2019-06-30,0.47,3,0
34475863,"SUPERB River North 3BR, GREAT LOCATION!",179367980,Wendy And Matt,,Near North Side,41.89829,-87.63562,Entire home/apt,252,2,26,2019-09-18,5.82,8,141
34476758,Lakeview’s cozy charmer,138710703,Ashley,,Lake View,41.93936,-87.65744,Private room,175,1,6,2019-09-01,1.64,1,176
34480896,Private Bucktown Home for 12 Guests w/ Parking!,142441432,Kathryn,,Logan Square,41.91926,-87.67668,Entire home/apt,169,2,16,2019-09-15,4.03,1,345
34481210,Logan Square Garden Sanctuary,72404211,Tess,,Logan Square,41.91951,-87.70356,Entire home/apt,90,2,24,2019-09-08,5.71,1,63
34482925,Remodeled 2 Bed/1Bath Condo-Walk to United Center,164710043,Noah+Team,,Near West Side,41.88027,-87.68235,Entire home/apt,149,1,22,2019-09-04,5.08,57,12
34484132,Modern Contemporary Lifestyle in the South Loop,6774894,James,,Loop,41.86953,-87.62733,Entire home/apt,179,1,21,2019-09-07,5.29,4,3
34490721,MOD MILLENNIUM PARK 1BR/1BA PRIME LOCATION!,63313003,K,,Loop,41.88508,-87.62475,Entire home/apt,149,32,0,,,29,365
34503150,"High Rise Apt, Heart of Chicago",8021632,Hessam,,Loop,41.88833,-87.62214,Entire home/apt,179,2,3,2019-07-21,0.80,1,20
34505176,"2 miles from Mc Cormick, Cozy Garden Inn",141061318,Desired Properties,,Grand Boulevard,41.8183,-87.61552,Entire home/apt,125,2,12,2019-09-16,2.88,3,174
34506116,"Luxurious 3-bedroom, 2-bath in Lincoln Park",260435163,Fangji,,Lincoln Park,41.92683,-87.64791,Entire home/apt,152,2,2,2019-06-16,0.46,1,1
34508368,Petite North Ave Hideout,123077675,Maxwell,,West Town,41.91181,-87.69562,Entire home/apt,107,2,5,2019-07-07,1.17,2,8
34514690,Lighthouse Room,110725131,Ronak,,West Garfield Park,41.8772,-87.72228,Private room,35,3,2,2019-07-31,0.71,12,148
34517680,Wicker Park 1320,2479544,The Joneses,,West Town,41.90247,-87.68238,Entire home/apt,400,3,1,2019-09-01,1,1,364
34532392,Great Room in Edgewater!,116537780,Eric,,Edgewater,41.99699,-87.66764,Private room,70,2,2,2019-08-04,0.50,6,1
34532548,Royalty Room,110725131,Ronak,,West Garfield Park,41.87575,-87.72108,Private room,35,3,3,2019-08-31,0.72,12,171
34532603,3BR / 2BA Condo w/ Parking Near United Center!,194153852,Nico & Kathleen,,Near West Side,41.87871,-87.68241,Entire home/apt,199,2,16,2019-09-16,3.61,3,331
34533052,A whole apartment in Chicago close to downtown,143406371,James,,Chatham,41.74897,-87.61365,Entire home/apt,46,7,5,2019-08-16,1.19,4,315
34533277,Beautiful Duplex in Historic Kenwood Neighborhood,132709428,Mark,,Kenwood,41.81424,-87.60096,Entire home/apt,101,1,12,2019-09-16,2.81,1,126
