id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
170273,Stroll to Stunning Views from a Historic Home,804996,Nadine,Queen Anne,Lower Queen Anne,47.62767,-122.35861,Entire home/apt,750,2,240,2019-09-16,2.41,1,330
186328,"Beautiful Update Craftsman 3BR, 3BA",895223,Andrew,Queen Anne,North Queen Anne,47.64413,-122.3563,Entire home/apt,250,3,1,2013-11-08,0.01,1,0
189156,Sweet Studio -Water & Mountain view,179030,Harriet,West Seattle,Seaview,47.54543,-122.39784,Entire home/apt,78,2,303,2019-09-09,3.09,1,150
190984,Home in Hillman City - large studio & free parking,923095,Denise,Rainier Valley,Columbia City,47.55284,-122.27789,Entire home/apt,80,2,157,2019-08-17,2.41,2,0
192666,"Classy,Private, Comfy! W Seattle-A Place To Relax!",933468,Vidya,West Seattle,North Admiral,47.58216,-122.39387,Private room,59,1,99,2019-09-16,2.31,2,75
193836,Spacious Suite Near Lincoln Park in West Seattle,583579,Amy,West Seattle,Gatewood,47.5357,-122.38631,Entire home/apt,89,1,188,2019-09-04,1.90,1,109
202251,Seattle Phinney Ridge Ballard,601266,Tim And Pam,Other neighborhoods,Phinney Ridge,47.6777,-122.35984,Entire home/apt,175,30,24,2019-07-23,0.38,1,365
202260,Cozy Seattle Apartment Near UW & Children's,990195,Kerry,Other neighborhoods,View Ridge,47.68004,-122.28398,Entire home/apt,99,30,143,2016-08-01,1.45,1,0
210316,"""THE 5-STAR HOUSE""  # 9",2438665,Flor,Other neighborhoods,Crown Hill,47.6999,-122.36614,Private room,95,3,73,2019-08-19,1.13,4,303
215882,Relaxing Garden Cottage w/ Hot Tub!,971336,Julie,Rainier Valley,Columbia City,47.5613,-122.28122,Entire home/apt,80,2,367,2019-09-14,3.82,1,60
217142,LOCATION! Family SPACIOUS 2BD/2BA PRKG FREE WiFi,8243075,Lori,Downtown,Belltown,47.61534,-122.34791,Entire home/apt,200,2,161,2019-09-10,1.67,4,266
218741,"Private, Large Room+Bath in Ballard",468703,Corinne & Tom,Ballard,Loyal Heights,47.68231,-122.37875,Private room,90,1,132,2019-09-13,1.49,2,179
219532,"Fun home in Funky Fremont, Seattle",1037115,Rose And Glen,Other neighborhoods,Fremont,47.65692,-122.36093,Entire home/apt,275,2,87,2019-08-25,0.97,5,112
224763,"Location! Sleeps 4 WiFi  Luxurious, Parking Inc!",8243075,Lori,Downtown,Belltown,47.61386,-122.34879,Entire home/apt,139,1,102,2019-08-05,1.10,4,322
226495,"Fun apartment in Ballard, Seattle",1037115,Rose And Glen,Ballard,Whittier Heights,47.68966,-122.36839,Entire home/apt,170,2,92,2019-08-25,1.02,5,138
226536,Serene Room in Sunny Cottage near Discovery Park,209571,Cheryl,Magnolia,Lawton Park,47.6612,-122.40145,Private room,46,1,200,2019-09-20,2.09,2,351
226677,Sunny Parisian beauty room w/ comfy bed,30559,Angielena,Other neighborhoods,Georgetown,47.54969,-122.31868,Private room,55,2,148,2019-09-08,1.54,8,365
229990,Alki Beach 1/2 block to beach,1201633,Wayne,West Seattle,Alki,47.57823,-122.41181,Entire home/apt,160,1,8,2019-08-20,0.53,1,321
231097,Peaceful NE Seattle guest room,990692,Paul,Lake City,Matthews Beach,47.70639,-122.28075,Private room,54,3,160,2019-09-02,1.65,1,352
233502,West Seattle room with private bath,1215564,Danielle,West Seattle,North Admiral,47.57327,-122.37436,Private room,60,1,1,2012-06-06,0.01,1,264
241016,Scandinavian Queen Anne Home,956883,Maija,Queen Anne,North Queen Anne,47.64329,-122.37582,Entire home/apt,215,2,110,2019-09-02,1.56,3,201
241032,Stylish Queen Anne Apartment,956883,Maija,Queen Anne,West Queen Anne,47.63629,-122.37103,Entire home/apt,165,3,297,2019-09-02,3.09,3,325
243885,Charming Urban Garden Bungalow,1279637,Melody And Justin,Other neighborhoods,Wallingford,47.67058,-122.32363,Entire home/apt,125,7,4,2018-07-06,0.04,1,49
251922,"Sleepy North Admiral, West Seattle",512084,Edwin,West Seattle,North Admiral,47.58143,-122.39411,Entire home/apt,85,1,235,2019-09-09,2.45,1,345
254340,Phinney Oasis-Ballard/Phinney,1336214,Kim,Other neighborhoods,Phinney Ridge,47.67717,-122.36169,Entire home/apt,85,30,160,2019-09-01,1.69,1,138
260613,Modern & New MIL Apt. in N. Ballard,1387754,Monika,Ballard,Whittier Heights,47.68649,-122.36846,Entire home/apt,100,1,54,2019-09-12,0.59,1,357
261912,"Storybook Tudor, house at GreenLake",558743,Natalie,Other neighborhoods,Green Lake,47.68378,-122.34201,Entire home/apt,200,4,31,2019-01-02,0.34,2,10
270370,"NorthBeach, fantastic water view",1309213,Audrey&Benoit,Other neighborhoods,North Beach/Blue Ridge,47.69818,-122.3871,Entire home/apt,195,2,0,,,1,0
271509,Belltown Condo-Close to Pike Place-OPEN 9/22-227,74305,Seattle Oasis,Downtown,Belltown,47.61578,-122.34872,Entire home/apt,144,2,71,2019-07-19,0.83,53,137
277416,Near Space Needle! Sunny 1 bd/1 ba WiFi CLEAN Prkg,8243075,Lori,Downtown,Belltown,47.61607,-122.34668,Entire home/apt,139,2,119,2019-09-10,1.26,4,312
278830,"Charming Craftsman house in Queen Anne, Seattle",1452570,Emily,Queen Anne,West Queen Anne,47.63292,-122.37247,Entire home/apt,375,3,73,2019-09-02,0.83,3,181
279209,Beautiful Light Filled Cottage in Central Ballard,601384,Eva,Ballard,Loyal Heights,47.68123,-122.37971,Entire home/apt,150,2,2,2016-06-26,0.05,1,0
281208,"Luxury, Location, Great For Family",658155,Joe,Central Area,Atlantic,47.5938,-122.30515,Entire home/apt,229,7,164,2019-08-15,1.77,13,94
281789,11th Avenue Inn Bed and Breakfast,31509,David,Capitol Hill,Broadway,47.61988,-122.31961,Private room,99,1,53,2019-02-20,0.57,6,0
284087,The Nest in the Heart of the City,721070,Suzanne,Downtown,First Hill,47.61148,-122.32912,Entire home/apt,183,3,190,2019-09-12,2.06,1,317
286080,2 Bed 2 Bath  Downtown Seattle Walk to Pike Place,74305,Seattle Oasis,Downtown,Belltown,47.61523,-122.34703,Entire home/apt,182,2,98,2019-09-01,1.04,53,105
299817,Cap Hill Mountain/Lake View Oasis,1545026,Anna,Capitol Hill,Stevens,47.62388,-122.30133,Entire home/apt,125,7,49,2019-08-29,0.65,1,81
301059,Belltown Condo with Water View OPEN 9/18,74305,Seattle Oasis,Downtown,Belltown,47.61497,-122.34855,Entire home/apt,94,2,57,2019-09-02,0.62,53,119
303277,Hip Condo Private Deck East Lake Union - Long Term,1204187,Kara,Cascade,Eastlake,47.64481,-122.32429,Entire home/apt,120,30,10,2019-08-11,0.11,2,302
311790,Eastlake Union-Fantastic Location,1204187,Kara,Cascade,Eastlake,47.64642,-122.32495,Private room,50,1,4,2019-04-03,0.05,2,0
317248,Historic Seattle Home Designed for Modern Living,658155,Joe,Capitol Hill,Broadway,47.62336,-122.31668,Entire home/apt,240,7,179,2019-09-06,2.03,13,60
319768,Family Friendly Modern Seattle Home,1577903,Jen,Central Area,Atlantic,47.59583,-122.29788,Entire home/apt,135,5,5,2013-12-28,0.05,1,0
338091,"spacious, great location w view",1717589,Jen,Capitol Hill,Broadway,47.61897,-122.32421,Entire home/apt,165,1,118,2019-09-08,1.30,3,365
340706,Charming Wallingford Apartment,1015653,David,Other neighborhoods,Wallingford,47.65588,-122.33214,Entire home/apt,90,2,185,2019-09-13,2.02,1,140
341454,"Cool 2BR Flat w/Private Balcony, City Views",1732181,William,Central Area,Minor,47.61038,-122.31157,Entire home/apt,175,30,55,2019-08-26,1.26,3,89
353039,St. John's Apt. 300 *Walkscore 99*,1787819,Bryce,Downtown,First Hill,47.61367,-122.32203,Entire home/apt,155,3,54,2019-09-04,0.61,6,73
353110,West Seattle Backyard Vacation Cottage,1788284,Eric,West Seattle,North Admiral,47.58003,-122.39025,Entire home/apt,107,4,70,2019-01-03,0.77,1,264
353347,VACATION HOUSE WEST SEATTLE - Close to Beach,791459,Western Vacation Rentals,West Seattle,Arbor Heights,47.50509,-122.37824,Entire home/apt,185,4,36,2019-09-01,0.39,1,362
356248,Seattle 2 BR w Lovely Water Views | BlueStarBnB,306615,Tara,Capitol Hill,Portage Bay,47.65005,-122.3211,Entire home/apt,199,7,24,2019-08-27,0.66,3,166
356608,St. John's Apt. 309 *Walkscore 99*,1787819,Bryce,Downtown,First Hill,47.61304,-122.32321,Entire home/apt,196,3,119,2019-09-08,1.34,6,152
365550,contemporary art loft downtown,1025723,Dirk & Jaq,Downtown,International District,47.59902,-122.32708,Private room,125,3,729,2019-09-09,7.98,2,55
368403,Large Luxury Lakeside Seattle Home,4186078,Trung,Other neighborhoods,Green Lake,47.68354,-122.33091,Entire home/apt,450,4,33,2019-09-15,0.45,1,341
370361,Private Guest Studio- Phinney Ridge,1865986,Sheldon,Other neighborhoods,Greenwood,47.68348,-122.35705,Private room,85,3,216,2019-09-06,2.37,2,84
380950,4BR/2BA Craftsman Charmer w/ Stunning Sunset Views,287962,Ian,Other neighborhoods,Fremont,47.66623,-122.3607,Entire home/apt,400,1,25,2017-09-04,0.28,1,0
384797,6 room/10 bed/3 bath- Award Winning/ Walk Downtown,50893,Chris,Capitol Hill,Broadway,47.6257,-122.32095,Entire home/apt,499,3,48,2019-04-04,0.54,3,155
387078,Modern on Capitol Hill. LOCATION!,1121532,Kellie,Capitol Hill,Broadway,47.62178,-122.32379,Entire home/apt,119,1,153,2019-09-15,1.86,7,286
387464,Backyard Studio Apartment near UW,1938802,Jason And Susy,Other neighborhoods,Ravenna,47.67675,-122.29397,Entire home/apt,93,2,214,2019-04-28,2.35,1,300
392140,Fantastic View-Close to Light Rail-Solar Powered!,3313235,Leslie,Beacon Hill,North Beacon Hill,47.58513,-122.31526,Private room,72,2,257,2019-09-16,2.86,1,357
392779,2/1 Plush Modern Hilltop Retreat,437055,Jyoti And Tushar,Beacon Hill,North Beacon Hill,47.57577,-122.31636,Entire home/apt,112,3,135,2019-09-03,1.52,1,171
408526,Chic 3 bed 4 bath Ballard townhome,2034501,Vivian,Ballard,Adams,47.67553,-122.37632,Entire home/apt,218,14,0,,,2,365
413733,Chill Central District 2BR,2057654,Michele & Ryan,Central Area,Madrona,47.60907,-122.29613,Entire home/apt,269,2,167,2019-09-12,3.25,2,112
421168,Greenwood Studio,2094547,Samantha & Peter,Other neighborhoods,Greenwood,47.69922,-122.35072,Private room,71,1,332,2018-08-02,3.78,1,0
430609,"Fresh & hip. 3br/2.5ba deck, A/C, walk to all.",165390,Seth,Other neighborhoods,Fremont,47.65925,-122.34831,Entire home/apt,225,21,46,2018-08-26,0.81,5,152
430610,"modern,super roof deck, garage,88 walkscore!",165390,Seth,Other neighborhoods,Wallingford,47.6541,-122.33851,Entire home/apt,259,5,100,2019-09-02,1.16,5,64
433842,Green Lake Place,2088654,Steve,Other neighborhoods,Green Lake,47.68528,-122.34316,Entire home/apt,85,2,19,2019-03-03,1.22,1,19
445199,The Chandelier Room,2211872,Eliza,Delridge,North Delridge,47.56966,-122.36171,Private room,80,2,96,2017-08-13,1.09,1,112
447488,Guest Bedroom in Capitol Hill Townhouse with Views,450548,Vaibhav,Capitol Hill,Broadway,47.61953,-122.31581,Private room,120,1,56,2016-07-27,0.65,2,1
447523,Bedroom in artistic Northwest home,2222321,Deb,Other neighborhoods,Wedgwood,47.68523,-122.28943,Private room,50,1,194,2019-09-03,2.20,4,326
451012,Spacious house near Ballard ,2234071,Sasan,Other neighborhoods,Broadview,47.71352,-122.35874,Entire home/apt,195,7,2,2013-12-30,0.02,1,276
461234,Browns House Guest Apt. in Ballard,1870781,Diana,Ballard,Whittier Heights,47.68394,-122.37305,Entire home/apt,99,3,269,2019-09-06,3.03,1,333
463768,delux comfort+ in coolest 'hood / spacious 4 bdrm,1210993,Audrey,Ballard,Sunset Hill,47.66899,-122.4028,Entire home/apt,395,2,24,2017-09-03,0.27,1,0
475361,NE Seattle Artist Treehouse Suite!,2342082,Marilyn,Lake City,Cedar Park,47.71796,-122.29114,Entire home/apt,77,3,116,2019-08-26,1.32,1,146
475496,Cap Hill modern light-filled home,1495392,Lindsey,Capitol Hill,Stevens,47.62785,-122.29871,Entire home/apt,200,20,1,2012-07-26,0.01,2,0
490076,Super cute w/gardens & charm. Great location!,3921530,Ann Petrich,Other neighborhoods,Fremont,47.6543,-122.35259,Entire home/apt,80,2,322,2019-09-09,4.97,3,52
490110,Seattle Pike Place Market Apartment,2403410,Alan,Downtown,Pike-Market,47.61172,-122.34368,Entire home/apt,275,3,44,2018-09-03,0.50,1,0
491958,Columbia City Treehouse Vacation Rental,2431399,Jay,Rainier Valley,Columbia City,47.56051,-122.27895,Entire home/apt,75,2,338,2019-09-20,3.85,1,316
493591,THE 5-STAR  HOUSE- ROOM 5-> MARILYN MONROE'S ROOM,2438665,Flor,Other neighborhoods,Crown Hill,47.70295,-122.36861,Private room,60,3,168,2019-09-18,1.90,4,319
496074,Spacious Garden Apt Phinney Ridge,2450062,Liza,Other neighborhoods,Phinney Ridge,47.67805,-122.36043,Entire home/apt,95,3,154,2019-09-02,1.78,2,354
506542,"Garden Apartment, Keypad Entry",1414691,Jordan,Other neighborhoods,Wallingford,47.65854,-122.32582,Entire home/apt,95,2,175,2019-09-03,1.98,4,348
513344,artsy bungalow in friendly phinney,2450062,Liza,Other neighborhoods,Phinney Ridge,47.67871,-122.36066,Entire home/apt,120,5,5,2017-08-19,0.06,2,0
522270,House boat on Lake Union Seattle,1037115,Rose And Glen,Cascade,Westlake,47.63642,-122.34124,Entire home/apt,140,2,37,2019-09-02,0.43,5,109
533443,Max's West Seattle Hideaway,2370749,Tom,Delridge,Riverview,47.5366,-122.35605,Private room,45,1,282,2018-02-18,3.20,1,0
544433,"8, Sparkling Seattle Center",2612779,Serina,Queen Anne,Lower Queen Anne,47.62082,-122.35634,Entire home/apt,95,2,441,2019-09-02,5.00,1,0
552325,Seattle 2 BR w Amazing Water Views | BlueStarBnB,306615,Tara,Capitol Hill,Portage Bay,47.64933,-122.31925,Entire home/apt,149,3,20,2019-09-02,0.27,3,84
555182,Artistic Seattle home..whole house,2222321,Deb,Other neighborhoods,Wedgwood,47.68362,-122.28828,Entire home/apt,275,1,18,2016-08-21,0.25,4,229
